program_change channel=0 program=0 time=0
control_change channel=0 control=7 value=100 time=0
control_change channel=0 control=10 value=64 time=0
control_change channel=0 control=91 value=127 time=0
program_change channel=0 program=0 time=0
control_change channel=0 control=7 value=100 time=0
control_change channel=0 control=10 value=64 time=0
control_change channel=0 control=64 value=127 time=0
control_change channel=0 control=91 value=127 time=0
program_change channel=2 program=0 time=0
control_change channel=2 control=7 value=110 time=0
control_change channel=2 control=10 value=64 time=0
program_change channel=3 program=0 time=0
control_change channel=3 control=7 value=110 time=0
control_change channel=3 control=10 value=64 time=0
program_change channel=4 program=0 time=0
control_change channel=4 control=7 value=100 time=0
control_change channel=4 control=10 value=64 time=0
program_change channel=5 program=0 time=0
control_change channel=5 control=7 value=100 time=0
control_change channel=5 control=10 value=64 time=0
note_on channel=0 note=60 velocity=61 time=0.00168918958333
note_on channel=0 note=64 velocity=57 time=0.20270275
note_on channel=0 note=67 velocity=56 time=0.20270275
note_on channel=0 note=67 velocity=0 time=0.20270275
note_on channel=0 note=72 velocity=60 time=0
note_on channel=0 note=72 velocity=0 time=0.00165562916667
note_on channel=0 note=76 velocity=63 time=0
note_on channel=0 note=76 velocity=0 time=0.17880795
note_on channel=0 note=67 velocity=50 time=0.00168918958333
note_on channel=0 note=67 velocity=0 time=0.20270275
note_on channel=0 note=72 velocity=47 time=0
note_on channel=0 note=72 velocity=0 time=0.20270275
note_on channel=0 note=76 velocity=47 time=0
note_on channel=0 note=76 velocity=0 time=0.20270275
note_on channel=0 note=64 velocity=0 time=0
note_on channel=0 note=60 velocity=0 time=0
note_on channel=0 note=60 velocity=62 time=0
note_on channel=0 note=64 velocity=57 time=0.20270275
note_on channel=0 note=67 velocity=56 time=0.20270275
note_on channel=0 note=67 velocity=0 time=0.20270275
note_on channel=0 note=72 velocity=60 time=0
note_on channel=0 note=72 velocity=0 time=0.20270275
note_on channel=0 note=76 velocity=62 time=0
note_on channel=0 note=76 velocity=0 time=0.182432475
note_on channel=0 note=67 velocity=50 time=0.00166666666667
note_on channel=0 note=67 velocity=0 time=0.2
note_on channel=0 note=72 velocity=48 time=0
note_on channel=0 note=72 velocity=0 time=0.2
note_on channel=0 note=76 velocity=48 time=0
control_change channel=0 control=91 value=127 time=0
control_change channel=0 control=91 value=127 time=0
note_on channel=0 note=76 velocity=0 time=0.00168918958333
note_on channel=0 note=64 velocity=0 time=0
note_on channel=0 note=60 velocity=0 time=0
note_on channel=0 note=60 velocity=65 time=0
control_change channel=0 control=64 value=0 time=0.01520270625
control_change channel=0 control=64 value=127 time=0.1621622
note_on channel=0 note=62 velocity=60 time=0.02533784375
note_on channel=0 note=69 velocity=56 time=0.20270275
note_on channel=0 note=69 velocity=0 time=0.0016447375
note_on channel=0 note=74 velocity=60 time=0
note_on channel=0 note=74 velocity=0 time=0.00160256458333
note_on channel=0 note=77 velocity=65 time=0
note_on channel=0 note=77 velocity=0 time=0.173076975
note_on channel=0 note=69 velocity=51 time=0.0016447375
note_on channel=0 note=69 velocity=0 time=0.1973685
note_on channel=0 note=74 velocity=50 time=0
note_on channel=0 note=74 velocity=0 time=0.1973685
note_on channel=0 note=77 velocity=50 time=0
note_on channel=0 note=77 velocity=0 time=0.00165562916667
note_on channel=0 note=62 velocity=0 time=0
note_on channel=0 note=60 velocity=0 time=0
note_on channel=0 note=60 velocity=65 time=0
note_on channel=0 note=62 velocity=60 time=0.1986755
note_on channel=0 note=69 velocity=58 time=0.1986755
note_on channel=0 note=69 velocity=0 time=0.00162337708333
note_on channel=0 note=74 velocity=60 time=0
note_on channel=0 note=74 velocity=0 time=0.00158227916667
note_on channel=0 note=77 velocity=65 time=0
note_on channel=0 note=77 velocity=0 time=0.17088615
note_on channel=0 note=69 velocity=52 time=0.00162337708333
note_on channel=0 note=69 velocity=0 time=0.19480525
note_on channel=0 note=74 velocity=50 time=0
note_on channel=0 note=74 velocity=0 time=0.00168918958333
note_on channel=0 note=77 velocity=50 time=0
control_change channel=0 control=91 value=127 time=0
control_change channel=0 control=91 value=127 time=0
note_on channel=0 note=77 velocity=0 time=0.00167785208333
note_on channel=0 note=62 velocity=0 time=0
note_on channel=0 note=60 velocity=0 time=0
note_on channel=0 note=59 velocity=65 time=0
control_change channel=0 control=64 value=0 time=0.0134228166667
control_change channel=0 control=64 value=127 time=0.127516758333
note_on channel=0 note=62 velocity=60 time=0.060402675
note_on channel=0 note=67 velocity=56 time=0.20134225
note_on channel=0 note=67 velocity=0 time=0.00162337708333
note_on channel=0 note=74 velocity=60 time=0
note_on channel=0 note=74 velocity=0 time=0.0015625
note_on channel=0 note=77 velocity=65 time=0
note_on channel=0 note=77 velocity=0 time=0.16875
note_on channel=0 note=67 velocity=51 time=0.00162337708333
note_on channel=0 note=67 velocity=0 time=0.19480525
note_on channel=0 note=74 velocity=50 time=0
note_on channel=0 note=74 velocity=0 time=0.00162337708333
note_on channel=0 note=77 velocity=50 time=0
note_on channel=0 note=77 velocity=0 time=0.00167785208333
note_on channel=0 note=62 velocity=0 time=0
note_on channel=0 note=59 velocity=0 time=0
note_on channel=0 note=59 velocity=65 time=0
note_on channel=0 note=62 velocity=60 time=0.20134225
note_on channel=0 note=67 velocity=56 time=0.20134225
note_on channel=0 note=67 velocity=0 time=0.0016447375
note_on channel=0 note=74 velocity=60 time=0
note_on channel=0 note=74 velocity=0 time=0.00160256458333
note_on channel=0 note=77 velocity=65 time=0
note_on channel=0 note=77 velocity=0 time=0.173076975
note_on channel=0 note=67 velocity=52 time=0.0016447375
note_on channel=0 note=67 velocity=0 time=0.1973685
note_on channel=0 note=74 velocity=50 time=0
note_on channel=0 note=74 velocity=0 time=0.0017241375
note_on channel=0 note=77 velocity=50 time=0
control_change channel=0 control=91 value=127 time=0
control_change channel=0 control=91 value=127 time=0
note_on channel=0 note=77 velocity=0 time=0.0016447375
note_on channel=0 note=62 velocity=0 time=0
note_on channel=0 note=59 velocity=0 time=0
note_on channel=0 note=60 velocity=61 time=0
control_change channel=0 control=64 value=0 time=0.0131579
control_change channel=0 control=64 value=127 time=0.148026375
note_on channel=0 note=64 velocity=57 time=0.036184225
note_on channel=0 note=67 velocity=53 time=0.1973685
note_on channel=0 note=67 velocity=0 time=0.1973685
note_on channel=0 note=72 velocity=55 time=0
note_on channel=0 note=72 velocity=0 time=0.00159235625
note_on channel=0 note=76 velocity=60 time=0
note_on channel=0 note=76 velocity=0 time=0.171974475
note_on channel=0 note=67 velocity=50 time=0.0016447375
